0,1,2,3,4,counts
www.samsung.com,us,appstore,app,G17247010202,1
www.samsung.com,us,appstore,app,G17250010214,1
www.samsung.com,us,appstore,app,G17250010217,1
www.samsung.com,us,appstore,app,G17255010233,1
www.samsung.com,us,appstore,app,G17271010286,1
www.samsung.com,us,appstore,app,G17258010244,1
www.samsung.com,us,appstore,app,G17265010259,1
www.samsung.com,us,appstore,app,G17265010261,1
www.samsung.com,us,appstore,app,G17265010265,1
www.samsung.com,us,appstore,app,G17268010273,1
www.samsung.com,us,appstore,app,G17269010274,1
www.samsung.com,us,appstore,app,G17292010383,1
www.samsung.com,us,appstore,app,G17292010390,1
www.samsung.com,us,appstore,app,G17297010397,1
www.samsung.com,us,appstore,app,G17339010625,1
www.samsung.com,us,appstore,app,G17333010584,1
www.samsung.com,us,appstore,app,G17333010588,1
www.samsung.com,us,appstore,app,G17334010591,1
www.samsung.com,us,appstore,app,G17334010596,1
www.samsung.com,us,appstore,app,G17338010613,1
www.samsung.com,us,appstore,app,G17338010615,1
www.samsung.com,us,appstore,app,G17340010630,1
www.samsung.com,us,appstore,app,G17297010403,1
www.samsung.com,us,appstore,app,G17341010633,1
www.samsung.com,us,appstore,app,G17345010648,1
www.samsung.com,us,appstore,app,G17346010654,1
www.samsung.com,us,appstore,app,G17347010659,1
www.samsung.com,us,appstore,app,G17347010662,1
www.samsung.com,us,appstore,app,G17348010670,1
www.samsung.com,us,appstore,app,G17331010567,1
www.samsung.com,us,appstore,app,G17326010543,1
www.samsung.com,us,appstore,app,G17325010537,1
www.samsung.com,us,appstore,app,G17325010533,1
www.samsung.com,us,appstore,app,G17324010522,1
www.samsung.com,us,appstore,app,G17318010499,1
www.samsung.com,us,appstore,app,G17317010492,1
www.samsung.com,us,appstore,app,G17314010486,1
www.samsung.com,us,appstore,app,G17313010476,1
www.samsung.com,us,appstore,app,G17312010473,1
www.samsung.com,us,appstore,app,G17310010464,1
www.samsung.com,us,appstore,app,G17307010454,1
www.samsung.com,us,appstore,app,G17305010445,1
www.samsung.com,us,appstore,app,G17304010430,1
www.samsung.com,us,appstore,app,G17304010427,1
www.samsung.com,us,appstore,app,G17304010425,1
www.samsung.com,us,appstore,app,G17300010414,1
www.samsung.com,us,appstore,app,G18124011218,1
www.samsung.com,us,appstore,app,G18125011220,1
www.samsung.com,us,appstore,app,G18128011224,1
www.samsung.com,us,appstore,app,G18257011851,1
www.samsung.com,us,appstore,app,G18250011815,1
www.samsung.com,us,appstore,app,G18253011824,1
www.samsung.com,us,appstore,app,G18256011840,1
www.samsung.com,us,appstore,app,G18256011843,1
www.samsung.com,us,appstore,app,G18256011845,1
www.samsung.com,us,appstore,app,G18256011849,1
www.samsung.com,us,appstore,app,G18257011855,1
www.samsung.com,us,appstore,app,G18248011800,1
www.samsung.com,us,appstore,app,G18257011859,1
www.samsung.com,us,appstore,app,G18260011869,1
www.samsung.com,us,appstore,app,G18260011870,1
www.samsung.com,us,appstore,app,G18261011883,1
www.samsung.com,us,appstore,app,G18262011887,1
www.samsung.com,us,appstore,app,G18263011896,1
www.samsung.com,us,appstore,app,G18249011804,1
www.samsung.com,us,appstore,app,G18248011796,1
www.samsung.com,us,appstore,app,G18241011722,1
www.samsung.com,us,appstore,app,G18241011746,1
www.samsung.com,us,appstore,app,G18241011728,1
www.samsung.com,us,appstore,app,G18241011733,1
www.samsung.com,us,appstore,app,G18241011735,1
www.samsung.com,us,appstore,app,G18241011737,1
www.samsung.com,us,appstore,app,G18241011742,1
www.samsung.com,us,appstore,app,G18241011745,1
www.samsung.com,us,appstore,app,G18241011751,1
www.samsung.com,us,appstore,app,G18247011790,1
www.samsung.com,us,appstore,app,G18241011753,1
www.samsung.com,us,appstore,app,G18241011757,1
www.samsung.com,us,appstore,app,G18241011760,1
www.samsung.com,us,appstore,app,G18241011762,1
www.samsung.com,us,appstore,app,G18246011781,1
www.samsung.com,us,appstore,app,G18247011785,1
www.samsung.com,us,appstore,app,G18264011902,1
www.samsung.com,us,appstore,app,G18267011907,1
www.samsung.com,us,appstore,app,G18268011909,1
www.samsung.com,us,appstore,app,G18310012128,1
www.samsung.com,us,appstore,app,G18304012089,1
www.samsung.com,us,appstore,app,G18304012091,1
www.samsung.com,us,appstore,app,G18304012094,1
www.samsung.com,us,appstore,app,G18305012100,1
www.samsung.com,us,appstore,app,G18306012111,1
www.samsung.com,us,appstore,app,G18309012122,1
www.samsung.com,us,appstore,app,G18312012134,1
www.samsung.com,us,appstore,app,G18268011914,1
www.samsung.com,us,appstore,app,G18312012135,1
www.samsung.com,us,appstore,app,G18315012144,1
www.samsung.com,us,appstore,app,G18318012152,1
www.samsung.com,us,appstore,app,G18318012158,1
www.samsung.com,us,appstore,app,G18319012162,1
www.samsung.com,us,appstore,app,G18319012167,1
www.samsung.com,us,appstore,app,G18299012059,1
www.samsung.com,us,appstore,app,G18299012053,1
www.samsung.com,us,appstore,app,G18298012052,1
www.samsung.com,us,appstore,app,G18297012045,1
www.samsung.com,us,appstore,app,G18297012039,1
www.samsung.com,us,appstore,app,G18296012030,1
www.samsung.com,us,appstore,app,G18291012013,1
www.samsung.com,us,appstore,app,G18291012011,1
www.samsung.com,us,appstore,app,G18291012010,1
www.samsung.com,us,appstore,app,G18290012000,1
www.samsung.com,us,appstore,app,G18285011980,1
www.samsung.com,us,appstore,app,G18285011978,1
www.samsung.com,us,appstore,app,G18283011967,1
www.samsung.com,us,appstore,app,G18278011949,1
www.samsung.com,us,appstore,app,G18277011942,1
www.samsung.com,us,appstore,app,G18272011931,1
www.samsung.com,us,appstore,app,G18270011916,1
www.samsung.com,us,appstore,app,G18241011726,1
www.samsung.com,us,appstore,app,G18241011720,1
www.samsung.com,us,appstore,app,G18133011253,1
www.samsung.com,us,appstore,app,G18176011420,1
www.samsung.com,us,appstore,app,G18169011371,1
www.samsung.com,us,appstore,app,G18171011395,1
www.samsung.com,us,appstore,app,G18173011409,1
www.samsung.com,us,appstore,app,G18173011411,1
www.samsung.com,us,appstore,app,G18173011413,1
www.samsung.com,us,appstore,app,G18173011415,1
www.samsung.com,us,appstore,app,G18177011427,1
www.samsung.com,us,appstore,app,G18166011368,1
www.samsung.com,us,appstore,app,G18177011428,1
www.samsung.com,us,appstore,app,G18178011435,1
www.samsung.com,us,appstore,app,G18179011442,1
www.samsung.com,us,appstore,app,G18180011447,1
www.samsung.com,us,appstore,app,G18183011458,1
www.samsung.com,us,appstore,app,G18185011470,1
www.samsung.com,us,appstore,app,G18166011369,1
www.samsung.com,us,appstore,app,G18163011356,1
www.samsung.com,us,appstore,app,G18240011717,1
www.samsung.com,us,appstore,app,G18149011295,1
www.samsung.com,us,appstore,app,G18134011255,1
www.samsung.com,us,appstore,app,G18135011258,1
www.samsung.com,us,appstore,app,G18140011265,1
www.samsung.com,us,appstore,app,G18141011269,1
www.samsung.com,us,appstore,app,G18142011272,1
www.samsung.com,us,appstore,app,G18149011294,1
www.samsung.com,us,appstore,app,G18150011300,1
www.samsung.com,us,appstore,app,G18159011341,1
www.samsung.com,us,appstore,app,G18152011317,1
www.samsung.com,us,appstore,app,G18152011320,1
www.samsung.com,us,appstore,app,G18156011325,1
www.samsung.com,us,appstore,app,G18156011328,1
www.samsung.com,us,appstore,app,G18156011330,1
www.samsung.com,us,appstore,app,G18158011334,1
www.samsung.com,us,appstore,app,G18185011472,1
www.samsung.com,us,appstore,app,G18191011506,1
www.samsung.com,us,appstore,app,G18191011508,1
www.samsung.com,us,appstore,app,G18229011675,1
www.samsung.com,us,appstore,app,G18218011642,1
www.samsung.com,us,appstore,app,G18219011646,1
www.samsung.com,us,appstore,app,G18220011647,1
www.samsung.com,us,appstore,app,G18221011656,1
www.samsung.com,us,appstore,app,G18222011660,1
www.samsung.com,us,appstore,app,G18222011662,1
www.samsung.com,us,appstore,app,G18232011682,1
www.samsung.com,us,appstore,app,G18192011512,1
www.samsung.com,us,appstore,app,G18232011685,1
www.samsung.com,us,appstore,app,G18233011689,1
www.samsung.com,us,appstore,app,G18233011691,1
www.samsung.com,us,appstore,app,G18233011693,1
www.samsung.com,us,appstore,app,G18240011710,1
www.samsung.com,us,appstore,app,G18240011713,1
www.samsung.com,us,appstore,app,G18218011635,1
www.samsung.com,us,appstore,app,G18214011621,1
www.samsung.com,us,appstore,app,G18213011616,1
www.samsung.com,us,appstore,app,G18208011602,1
www.samsung.com,us,appstore,app,G18206011587,1
www.samsung.com,us,appstore,app,G18206011586,1
www.samsung.com,us,appstore,app,G18205011579,1
www.samsung.com,us,appstore,app,G18204011570,1
www.samsung.com,us,appstore,app,G18204011569,1
www.samsung.com,us,appstore,app,G18204011567,1
www.samsung.com,us,appstore,app,G18204011564,1
www.samsung.com,us,appstore,app,G18204011562,1
www.samsung.com,us,appstore,app,G18204011558,1
www.samsung.com,us,appstore,app,G18199011548,1
www.samsung.com,us,appstore,app,G18199011545,1
www.samsung.com,us,appstore,app,G18198011539,1
www.samsung.com,us,appstore,app,G18194011517,1
www.samsung.com,us,appstore,app,G17231010162,1
www.samsung.com,us,appstore,app,G17237010172,1
www.samsung.com,us,appstore,app,G17230010156,1
www.samsung.com,us,appstore,app,G00008472565,1
www.samsung.com,us,appstore,app,G00008472482,1
www.samsung.com,us,appstore,app,G00008472500,1
www.samsung.com,us,appstore,app,G00008472504,1
www.samsung.com,us,appstore,app,G00008472559,1
www.samsung.com,us,appstore,app,G00008472561,1
www.samsung.com,us,appstore,app,G00008472563,1
www.samsung.com,us,appstore,app,G00008472567,1
www.samsung.com,us,appstore,app,G00008472333,1
www.samsung.com,us,appstore,app,G00008472572,1
www.samsung.com,us,appstore,app,G00008472597,1
www.samsung.com,us,appstore,app,G00008472677,1
www.samsung.com,us,appstore,app,G00008472679,1
www.samsung.com,us,appstore,app,G00008472695,1
www.samsung.com,us,appstore,app,G00008523206,1
www.samsung.com,us,appstore,app,G00008472344,1
www.samsung.com,us,appstore,app,G00008447158,1
www.samsung.com,us,appstore,app,G00008567939,1
www.samsung.com,us,appstore,app,G00008123470,1
www.samsung.com,us,appstore,app,G00006886729,1
www.samsung.com,us,appstore,app,G00007010266,1
www.samsung.com,us,appstore,app,G00007242516,1
www.samsung.com,us,appstore,app,G00007815071,1
www.samsung.com,us,appstore,app,G00007926169,1
www.samsung.com,us,appstore,app,G00008122677,1
www.samsung.com,us,appstore,app,G00008123473,1
www.samsung.com,us,appstore,app,G00008447155,1
www.samsung.com,us,appstore,app,G00008123480,1
www.samsung.com,us,appstore,app,G00008123483,1
www.samsung.com,us,appstore,app,G00008123506,1
www.samsung.com,us,appstore,app,G00008123519,1
www.samsung.com,us,appstore,app,G00008200735,1
www.samsung.com,us,appstore,app,G00008354303,1
www.samsung.com,us,appstore,app,G00008567936,1
www.samsung.com,us,appstore,app,G00008593159,1
www.samsung.com,us,appstore,app,G00009584960,1
www.samsung.com,us,appstore,app,G00009288270,1
www.samsung.com,us,appstore,app,G00009197180,1
www.samsung.com,us,appstore,app,G00009197728,1
www.samsung.com,us,appstore,app,G00009197740,1
www.samsung.com,us,appstore,app,G00009204553,1
www.samsung.com,us,appstore,app,G00009234380,1
www.samsung.com,us,appstore,app,G00009254023,1
www.samsung.com,us,appstore,app,G00009313465,1
www.samsung.com,us,appstore,app,G00009139407,1
www.samsung.com,us,appstore,app,G00009366123,1
www.samsung.com,us,appstore,app,G00009366171,1
www.samsung.com,us,appstore,app,G00009411006,1
www.samsung.com,us,appstore,app,G00009412272,1
www.samsung.com,us,appstore,app,G00009412578,1
www.samsung.com,us,appstore,app,G00009466001,1
www.samsung.com,us,appstore,app,G00009139424,1
www.samsung.com,us,appstore,app,G00009139400,1
www.samsung.com,us,appstore,app,G00008603797,1
www.samsung.com,us,appstore,app,G00008754703,1
www.samsung.com,us,appstore,app,G00008681391,1
